channel_title,category_id,tags,decision,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
Skip and Shannon: UNDISPUTED,17,1,0.0,1.0,2.0,3.0,False,False,False
CinemaSins,1,1,1.0,2.0,2.0,2.0,False,False,False
G-Eazy,24,1,0.0,2.0,1.0,1.0,False,False,False
Major Lazer,10,1,0.0,2.0,1.0,1.0,False,False,False
HarryStylesVEVO,10,1,1.0,3.0,1.0,3.0,False,False,False
I Like To Make Stuff,26,1,0.0,1.0,0.0,0.0,False,False,False
First We Feast,26,1,1.0,3.0,2.0,3.0,False,False,False
ChrisYoungVEVO,10,1,0.0,0.0,1.0,0.0,False,False,False
Desi Perkins,26,1,0.0,2.0,1.0,1.0,False,False,False
Saturday Night Live,24,1,1.0,2.0,3.0,2.0,False,False,False
Saturday Night Live,24,1,1.0,2.0,3.0,2.0,False,False,False
The Verge,28,1,0.0,0.0,0.0,0.0,False,False,False
FORMULA 1,17,1,1.0,2.0,2.0,2.0,False,False,False
20th Century Fox,1,1,0.0,1.0,0.0,0.0,False,False,False
Shawn Mendes,10,0,0.0,3.0,1.0,2.0,False,False,False
CBS News,25,1,0.0,0.0,0.0,0.0,False,False,False
JerryRigEverything,26,1,0.0,1.0,1.0,1.0,False,False,False
Billboard,10,1,0.0,0.0,0.0,0.0,False,False,False
Hope For Paws - Official Rescue Channel,15,1,0.0,2.0,1.0,1.0,False,False,False
ExplosmEntertainment,23,1,1.0,2.0,2.0,2.0,False,False,False
MBCentertainment,24,1,1.0,2.0,1.0,2.0,False,False,False
davematthewsbandVEVO,10,1,0.0,1.0,1.0,0.0,False,False,False
Ellie and Jared,22,1,0.0,1.0,1.0,1.0,False,False,False
Dua Lipa,10,1,1.0,3.0,3.0,3.0,False,False,False
The Late Show with Stephen Colbert,24,1,1.0,2.0,2.0,2.0,False,False,False
Kylie Cosmetics,22,1,1.0,3.0,3.0,2.0,False,False,False
Universal Pictures,24,1,1.0,1.0,2.0,1.0,False,False,False
DidYouKnowGaming?,20,1,0.0,1.0,2.0,1.0,False,False,False
KathleenLights,26,1,0.0,1.0,1.0,1.0,False,False,False
Onur Altuğ Sever,1,1,0.0,0.0,0.0,0.0,False,False,False
The Rock,24,1,0.0,0.0,0.0,0.0,False,False,False
TMZ,24,1,1.0,2.0,2.0,3.0,False,False,False
vlogbrothers,22,1,0.0,1.0,0.0,2.0,False,False,False
Focus Features,24,1,0.0,0.0,0.0,0.0,False,False,False
TkyoSam,22,1,0.0,1.0,2.0,1.0,False,False,False
Freddie Lister,17,1,1.0,1.0,2.0,1.0,False,False,False
Vanity Fair,24,1,0.0,2.0,1.0,1.0,False,False,False
Liza Koshy Too,23,1,1.0,3.0,2.0,3.0,False,False,False
Sony Pictures Entertainment,24,1,1.0,2.0,2.0,2.0,False,False,False
The Valleyfolk,22,1,0.0,2.0,0.0,2.0,False,False,False
JelloApocalypse,23,1,0.0,2.0,2.0,2.0,False,False,False
Simon's Cat,15,1,0.0,1.0,0.0,0.0,False,False,False
Barcroft Animals,15,1,0.0,0.0,0.0,0.0,False,False,False
Fox Business,25,1,0.0,0.0,1.0,1.0,False,False,False
Quartz,19,1,0.0,0.0,0.0,0.0,False,False,False
RachhLoves,26,1,0.0,1.0,1.0,1.0,False,False,False
CollegeHumor,23,1,0.0,1.0,1.0,1.0,False,False,False
The Late Late Show with James Corden,24,1,0.0,1.0,1.0,0.0,False,False,False
REACT,24,1,1.0,2.0,2.0,2.0,False,False,False
TED-Ed,27,1,0.0,2.0,1.0,1.0,False,False,False
WIRED,28,1,1.0,3.0,2.0,3.0,False,False,False
Fifty Shades,24,1,1.0,2.0,3.0,2.0,False,False,False
Chris Stuckmann,24,1,0.0,1.0,1.0,2.0,False,False,False
BuzzFeedVideo,22,1,0.0,1.0,1.0,0.0,False,False,False
SZAVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
The Cuddle Squad,23,1,0.0,0.0,0.0,0.0,False,False,False
Good Mythical Morning,24,1,1.0,1.0,2.0,1.0,False,False,False
ViralHog,2,1,0.0,0.0,0.0,0.0,False,False,False
Google Developers,28,1,1.0,2.0,3.0,,True,False,False
Half as Interesting,27,1,0.0,1.0,1.0,1.0,False,False,False
ExplosmEntertainment,23,1,1.0,3.0,3.0,2.0,False,False,False
Liza Koshy,23,1,1.0,3.0,2.0,3.0,False,False,False
Man About Cake,26,1,0.0,1.0,0.0,0.0,False,False,False
ibighit,10,1,1.0,3.0,3.0,3.0,False,False,False
Kanye West,22,1,1.0,3.0,3.0,3.0,False,False,False
CBS,24,1,0.0,0.0,0.0,0.0,False,False,False
